Category,Details
Bucket Name,misconfigured-dummy2
Date of Report,2025-02-04_22-15-54

Security Findings
public_access, No bucket policy found Private by default
block_public_access, Block All Public Access is ENABLED
encryption, Encryption is ENABLED using: aws:kms KMS Key: arn:aws:----c84e94

Recommended Fixes
None,
